entry_t,R,net,year,sym,eq
2025-11-27 02:00:00+00:00,0.7268992759364803,1.258660592521233,2025,BTCUSDT,11175.342713984326
2025-12-01 00:00:00+00:00,0.7210912925558535,0.9977496142974249,2025,BTCUSDT,11255.927137208144
2025-12-02 17:00:00+00:00,0.7228513691889157,1.0650281028445736,2025,BTCUSDT,11337.290760634362
2025-12-07 14:00:00+00:00,-1.0296162951600734,-1.390607825313861,2025,BTCUSDT,11220.560167533193
2025-12-09 15:00:00+00:00,0.7212033839317384,1.0017890744136717,2025,BTCUSDT,11301.483227157538
2025-12-14 14:00:00+00:00,0.7170183843893999,0.8695976484050147,2025,BTCUSDT,11382.516939604942
2025-12-22 12:00:00+00:00,-1.032823691198507,-1.2586319862106088,2025,BTCUSDT,11264.95560799802
2026-01-19 00:00:00+00:00,0.7059673633412211,0.6413128233150871,2026,BTCUSDT,11344.482518085362
2026-02-25 16:00:00+00:00,0.7244633569510566,1.1347824466396015,2026,BTCUSDT,11426.66913696461
2026-02-28 06:00:00+00:00,-1.0224230910960292,-1.8238753733236819,2026,BTCUSDT,11309.840233165141
2026-03-02 15:00:00+00:00,0.7293191033115141,1.4106140837066572,2026,BTCUSDT,11392.325058539625
2026-03-08 04:00:00+00:00,-1.0220429830596396,-1.854636426103306,2026,BTCUSDT,11275.890599671477
2026-03-10 02:00:00+00:00,0.7275646313919816,1.2971743751639555,2026,BTCUSDT,11357.92999154914
2026-03-19 08:00:00+00:00,0.7252961283794641,1.1743845491433598,2026,BTCUSDT,11440.308618041894
2026-04-05 23:00:00+00:00,0.7129630963878816,0.7700029180134789,2026,BTCUSDT,11521.873796601416
2026-04-29 18:00:00+00:00,-1.0365305611527633,-1.1349735984817837,2026,BTCUSDT,11402.44605348219
2026-05-01 13:00:00+00:00,-1.0390030093117253,-1.065561891399367,2026,BTCUSDT,11283.974295851365
2026-05-13 15:00:00+00:00,-1.0413646306799609,-1.0070097216503875,2026,BTCUSDT,11166.46697859935
2026-05-14 16:00:00+00:00,-1.041235060269194,-1.010048297222528,2026,BTCUSDT,11050.197809424792
2026-05-15 13:00:00+00:00,0.7121003065444015,0.7515631305869703,2026,BTCUSDT,11128.886301899469
2026-06-14 21:00:00+00:00,0.7191527029689743,0.9325325356651692,2026,BTCUSDT,11208.919988549924
2026-06-18 15:00:00+00:00,-1.0282207486698223,-1.457396840459232,2026,BTCUSDT,11093.667547525854
2026-06-22 13:00:00+00:00,-1.0346238229363487,-1.195273930135755,2026,BTCUSDT,10978.889820241793
2026-06-23 06:00:00+00:00,0.7172338428331826,0.8755788348101262,2026,BTCUSDT,11057.634133599933
