setup,side,tp,sl,ts,filter,n,exp,win,pf,total,robust,yr_tot
fib50,cont,1.5,2.0,12,conf15,1699,0.003443868643955881,57.38669805768099,1.021501097634462,5.851132826081042,0.42857142857142855,7
fib50,cont,4.0,1.5,288,volSpike,1716,0.003374719817218197,30.76923076923077,1.0130920590342924,5.7910192063464265,0.5714285714285714,7
fib50,cont,3.0,2.0,288,legOld,2145,0.0033285975261110336,42.93706293706293,1.0118939655313706,7.139841693508167,0.42857142857142855,7
pocket,cont,4.0,3.0,96,conf3,823,0.003239833423277869,45.20048602673147,1.0100533795141597,2.6663829073576863,0.2857142857142857,7
fib50,cont,2.0,2.0,12,volHI,1396,0.0032236688760844917,51.862464183381086,1.012847238881618,4.5002417510139505,0.42857142857142855,7
fib50,cont,1.5,0.5,24,conf3of3,294,0.0030915592764027707,31.292517006802722,1.0315487683754008,0.9089184272624146,0.42857142857142855,7
fib50,cont,1.5,0.5,48,conf3of3,294,0.0029214877440739305,30.952380952380953,1.0296947435454793,0.8589173967577356,0.42857142857142855,7
fib50,cont,4.0,1.5,96,conf15,1699,0.0029133127784228344,30.900529723366688,1.0112290568243976,4.949718410540395,0.5714285714285714,7
fib50,cont,1.5,0.5,12,conf3of3,294,0.0028661947161855586,31.292517006802722,1.029809780610575,0.8426612465585542,0.42857142857142855,7
pocket,cont,3.0,3.0,48,rejWick,494,0.002797624480552662,50.80971659919028,1.009924579203431,1.382026493393015,0.42857142857142855,7
fib50,cont,3.0,2.0,12,volSpike,1716,0.0027801959817111773,47.37762237762238,1.0138057532719693,4.77081630461638,0.2857142857142857,7
pocket,fade,4.0,2.0,96,conf2of3,463,0.0026445729383775827,36.06911447084234,1.0100460692894737,1.2244372704688207,0.42857142857142855,7
fib50,cont,4.0,2.0,12,legOld,2145,0.002599367932888736,47.27272727272727,1.0138558844161354,5.575644216046339,0.42857142857142855,7
pocket,fade,4.0,2.0,48,conf1,263,0.002598528029255279,35.741444866920155,1.0100263517313945,0.6834128716941383,0.5,6
pocket,cont,3.0,3.0,96,anti15,1174,0.002418710311180721,51.78875638841567,1.0076965587231062,2.8395659053261664,0.5714285714285714,7
fib50,cont,3.0,2.0,24,volSpike,1716,0.0024067057178739537,45.22144522144522,1.0100115571567732,4.129907011871705,0.2857142857142857,7
pocket,fade,1.5,3.0,48,conf1,263,0.0022531815982093427,66.92015209125475,1.0121930120101228,0.5925867603290571,0.6666666666666666,6
fib50,cont,1.5,1.0,24,conf3of3,294,0.0021907120040938507,44.89795918367347,1.0162813266860622,0.6440693292035921,0.5714285714285714,7
fib50,cont,3.0,1.5,48,conf15,1699,0.0020548224369610598,37.316068275456146,1.008838858268631,3.4911433203968407,0.42857142857142855,7
fib50,cont,2.0,0.5,24,conf0,266,0.002005157208805364,27.44360902255639,1.017968846425283,0.5333718175422268,0.7142857142857143,7
fib50,cont,3.0,1.5,24,conf15,1699,0.0019107820794940387,40.43555032371984,1.0089868410805813,3.2464187530603716,0.42857142857142855,7
fib50,cont,2.0,1.5,288,conf0,266,0.0018787621083686894,47.368421052631575,1.0094067168602083,0.4997507208260714,0.8571428571428571,7
fib50,cont,2.0,1.5,96,conf0,266,0.0018787621083686894,47.368421052631575,1.0094067168602083,0.4997507208260714,0.8571428571428571,7
fib50,cont,2.0,1.5,48,conf0,266,0.0018787621083686894,47.368421052631575,1.0094067168602083,0.4997507208260714,0.8571428571428571,7
fib50,cont,3.0,1.0,288,volSpike,1716,0.0018471559897374605,28.72960372960373,1.0100115336579056,3.169719678389482,0.42857142857142855,7
fib50,cont,4.0,3.0,24,conf15,1699,0.0018118122554313522,48.91112419070041,1.006711070699746,3.0782690219778672,0.5714285714285714,7
fib50,cont,3.0,1.5,288,volHI,1396,0.001733313742178918,35.74498567335244,1.0050524972426254,2.4197059840817694,0.5714285714285714,7
pocket,cont,4.0,3.0,24,rejWick,494,0.0016911892660345725,50.607287449392715,1.0069862887473107,0.8354474974210788,0.42857142857142855,7
fib50,cont,3.0,1.5,96,volHI,1396,0.0016624704029724693,35.88825214899713,1.0048615554017974,2.320808682549567,0.5714285714285714,7
pocket,fade,2.0,3.0,24,conf1,263,0.0016580065577818687,55.51330798479087,1.00853881513727,0.43605572469663145,0.5,6
fib50,cont,3.0,1.0,96,volSpike,1716,0.0016346328972892264,28.72960372960373,1.0088596644573895,2.8050300517483127,0.2857142857142857,7
pocket,cont,3.0,3.0,12,volHI,1295,0.0015099353443525601,52.123552123552116,1.0053966208601963,1.9553662709365653,0.5714285714285714,7
fib50,cont,3.0,3.0,48,legOld,2145,0.0013672506620043966,51.46853146853147,1.0045266601935459,2.932752669999431,0.2857142857142857,7
pocket,fade,4.0,2.0,288,conf2of3,463,0.00134578254204934,35.42116630669546,1.004957632606217,0.6230973169688445,0.42857142857142855,7
fib50,cont,4.0,1.5,288,conf15,1699,0.0013092616689651224,30.01765744555621,1.0049642327932566,2.224435575571743,0.5714285714285714,7
fib50,cont,1.5,1.0,96,conf3of3,294,0.0012601815857531094,44.21768707482993,1.0092445073389094,0.37049338621141414,0.5714285714285714,7
fib50,cont,1.5,1.0,288,conf3of3,294,0.0012601815857531094,44.21768707482993,1.0092445073389094,0.37049338621141414,0.5714285714285714,7
fib50,cont,4.0,3.0,96,volHI,1396,0.0012493221562784062,44.69914040114613,1.0023393811247534,1.744053730164655,0.2857142857142857,7
fib50,cont,3.0,1.0,48,volSpike,1716,0.00103089739782948,28.904428904428904,1.0056120966841666,1.7690199346753879,0.42857142857142855,7
fib50,cont,1.5,1.0,12,conf3of3,294,0.0009811216280452705,43.87755102040816,1.0075538093994405,0.28844975864530953,0.5714285714285714,7
fib50,cont,1.5,2.0,24,conf15,1699,0.0009273428127838309,59.50559152442614,1.0051520391228317,1.5755554389197286,0.42857142857142855,7
pocket,fade,4.0,3.0,96,conf1,263,0.0009219456429259794,43.346007604562736,1.0027633972207668,0.24247170408953256,0.5,6
